hora,latitude,longitude,altitude,velocidade(km/h),curso(Â°),date,satelites
13:38:34,-15.947394,-48.266975,935.4,0.1,0.0,110622,9
13:38:35,-15.947394,-48.266975,935.4,0.0,0.0,110622,8
13:38:36,-15.947394,-48.266975,935.3,0.1,0.0,110622,8
13:38:37,-15.947395,-48.266975,935.2,0.0,0.0,110622,8
13:38:38,-15.947395,-48.266979,935.2,0.1,0.0,110622,9
13:38:39,-15.947396,-48.266979,935.2,0.1,0.0,110622,9
13:38:40,-15.947395,-48.266979,935.2,0.2,0.0,110622,9
13:38:41,-15.947396,-48.266979,935.1,0.1,0.0,110622,8
13:38:42,-15.947396,-48.266983,935.1,0.1,0.0,110622,8
13:38:43,-15.947397,-48.266983,935.1,0.1,0.0,110622,8
13:38:44,-15.947397,-48.266983,935.1,0.1,0.0,110622,8
13:38:46,-15.947397,-48.266983,935.0,0.1,0.0,110622,8
13:38:47,-15.947398,-48.266983,935.0,0.0,0.0,110622,8
13:38:48,-15.947398,-48.266986,935.1,0.1,0.0,110622,8
13:38:49,-15.947398,-48.266986,935.1,0.1,0.0,110622,8
13:38:50,-15.947399,-48.266986,935.1,0.3,0.0,110622,8
13:38:51,-15.947398,-48.266986,935.1,0.2,0.0,110622,8
13:38:52,-15.947398,-48.266986,935.2,0.1,0.0,110622,8
13:38:53,-15.947399,-48.266990,935.2,0.1,0.0,110622,8
13:38:54,-15.947399,-48.266990,935.2,0.1,0.0,110622,9
13:38:55,-15.947399,-48.266990,935.2,0.1,0.0,110622,9
13:38:56,-15.947400,-48.266990,935.2,0.0,0.0,110622,9
13:38:58,-15.947401,-48.266986,935.0,0.4,0.0,110622,9
13:38:59,-15.947401,-48.266986,935.0,0.2,0.0,110622,9
13:39:00,-15.947401,-48.266986,935.0,0.1,0.0,110622,9
13:39:01,-15.947402,-48.266986,935.0,0.2,0.0,110622,9
13:39:02,-15.947402,-48.266986,935.0,0.1,0.0,110622,9
13:39:03,-15.947402,-48.266986,934.9,0.3,0.0,110622,9
13:39:04,-15.947403,-48.266986,935.0,0.1,0.0,110622,9
13:39:05,-15.947404,-48.266986,934.9,0.1,0.0,110622,9
13:39:06,-15.947405,-48.266983,934.9,0.2,0.0,110622,9
13:39:07,-15.947405,-48.266983,934.9,0.4,0.0,110622,9
13:39:09,-15.947407,-48.266983,934.7,0.2,0.0,110622,9
13:39:10,-15.947408,-48.266983,934.5,0.4,0.0,110622,9
13:39:11,-15.947410,-48.266979,934.3,0.4,0.0,110622,9
13:39:12,-15.947411,-48.266979,934.2,0.1,0.0,110622,9
13:39:13,-15.947412,-48.266979,934.1,0.2,0.0,110622,9
13:39:14,-15.947413,-48.266979,933.9,0.1,0.0,110622,9
13:39:15,-15.947413,-48.266979,933.8,0.1,0.0,110622,9
13:39:16,-15.947413,-48.266979,933.7,0.4,0.0,110622,9
13:39:17,-15.947414,-48.266979,933.6,0.1,0.0,110622,9
13:39:18,-15.947415,-48.266979,933.5,0.0,0.0,110622,9
13:39:20,-15.947416,-48.266979,933.4,0.0,0.0,110622,9
13:39:21,-15.947417,-48.266979,933.2,0.2,0.0,110622,9
13:39:22,-15.947418,-48.266979,933.0,0.2,0.0,110622,9
13:39:23,-15.947418,-48.266979,932.9,0.1,0.0,110622,9
13:39:24,-15.947418,-48.266979,932.9,0.1,0.0,110622,9
13:39:25,-15.947419,-48.266979,932.7,0.5,0.0,110622,9
13:39:26,-15.947420,-48.266979,932.5,0.1,0.0,110622,9
13:39:27,-15.947421,-48.266979,932.2,0.1,0.0,110622,9
13:39:28,-15.947422,-48.266979,931.9,0.0,0.0,110622,9
13:39:29,-15.947422,-48.266979,931.8,0.1,0.0,110622,9
13:39:31,-15.947422,-48.266983,931.3,0.1,0.0,110622,9
13:39:32,-15.947424,-48.266983,931.0,0.3,0.0,110622,9
13:39:33,-15.947425,-48.266979,930.7,0.1,0.0,110622,9
13:39:34,-15.947425,-48.266979,930.6,0.4,0.0,110622,9
13:39:35,-15.947426,-48.266979,930.4,0.2,0.0,110622,9
13:39:36,-15.947427,-48.266979,930.1,0.4,0.0,110622,9
13:39:37,-15.947427,-48.266979,930.0,0.3,0.0,110622,9
13:39:38,-15.947428,-48.266975,929.8,0.5,0.0,110622,9
13:39:39,-15.947428,-48.266975,929.7,0.2,0.0,110622,9
13:39:40,-15.947429,-48.266975,929.6,0.0,0.0,110622,9
13:39:42,-15.947429,-48.266975,929.5,0.2,0.0,110622,9
13:39:43,-15.947429,-48.266975,929.5,0.2,0.0,110622,9
13:39:44,-15.947428,-48.266975,929.5,0.3,0.0,110622,9
13:39:45,-15.947428,-48.266975,929.5,0.1,0.0,110622,9
13:39:46,-15.947427,-48.266975,929.6,0.1,0.0,110622,9
13:39:47,-15.947426,-48.266975,929.8,0.2,0.0,110622,9
13:39:48,-15.947425,-48.266975,930.0,0.1,0.0,110622,9
13:39:49,-15.947424,-48.266979,930.2,0.1,0.0,110622,9
13:39:50,-15.947422,-48.266979,930.5,0.0,0.0,110622,9
13:39:51,-15.947422,-48.266983,930.9,0.1,0.0,110622,9
13:39:53,-15.947419,-48.266986,931.3,0.1,0.0,110622,9
13:39:54,-15.947418,-48.266986,932.1,0.1,0.0,110622,9
13:39:55,-15.947417,-48.266990,932.4,0.1,0.0,110622,9
13:39:56,-15.947415,-48.266990,932.7,0.1,0.0,110622,9
13:39:57,-15.947414,-48.266990,933.0,0.1,0.0,110622,9
13:39:58,-15.947413,-48.266990,933.4,0.1,0.0,110622,9
13:39:59,-15.947412,-48.266994,933.7,0.1,0.0,110622,9
13:40:00,-15.947411,-48.266994,933.9,0.1,0.0,110622,9
13:40:01,-15.947411,-48.266994,934.0,0.1,0.0,110622,9
13:40:02,-15.947411,-48.266994,934.2,0.1,0.0,110622,9
13:40:03,-15.947410,-48.266994,934.3,0.1,0.0,110622,9
13:40:05,-15.947409,-48.266994,934.6,0.0,0.0,110622,9
13:40:06,-15.947409,-48.266994,934.7,0.0,0.0,110622,9
13:40:07,-15.947408,-48.266994,934.9,0.1,0.0,110622,9
13:40:08,-15.947407,-48.266998,935.0,0.1,0.0,110622,9
13:40:09,-15.947406,-48.266998,935.1,0.0,0.0,110622,9
13:40:11,-15.947405,-48.266998,935.3,0.0,0.0,110622,9
13:40:12,-15.947404,-48.267002,935.5,0.1,0.0,110622,9
13:40:13,-15.947404,-48.267002,935.6,0.1,0.0,110622,9
13:40:14,-15.947403,-48.267002,935.7,0.1,0.0,110622,9
13:40:15,-15.947403,-48.267002,935.8,0.1,0.0,110622,9
13:40:16,-15.947403,-48.267002,935.8,0.1,0.0,110622,9
13:40:17,-15.947403,-48.267002,935.8,0.1,0.0,110622,9
13:40:18,-15.947404,-48.267002,935.8,0.1,0.0,110622,9
13:40:19,-15.947404,-48.267002,935.8,0.2,0.0,110622,9
13:40:20,-15.947405,-48.267002,935.7,0.5,0.0,110622,9
13:40:21,-15.947405,-48.266998,935.8,0.1,0.0,110622,9
13:40:23,-15.947406,-48.267002,935.8,0.2,0.0,110622,9
13:40:24,-15.947406,-48.267002,935.9,0.5,0.0,110622,9
13:40:25,-15.947406,-48.267005,936.1,0.7,0.0,110622,9
13:40:26,-15.947406,-48.267005,936.3,0.2,0.0,110622,9
13:40:27,-15.947406,-48.267005,936.3,0.2,0.0,110622,9
13:40:28,-15.947406,-48.267005,936.4,0.1,0.0,110622,9
13:40:29,-15.947407,-48.267005,936.5,0.0,0.0,110622,9
13:40:30,-15.947407,-48.267005,936.6,0.0,0.0,110622,9
13:40:31,-15.947408,-48.267005,936.6,0.2,0.0,110622,9
13:40:32,-15.947408,-48.267005,936.6,0.3,0.0,110622,8
13:40:34,-15.947408,-48.267009,936.9,0.0,0.0,110622,9
13:40:35,-15.947408,-48.267009,937.0,0.1,0.0,110622,9
13:40:36,-15.947409,-48.267009,936.9,0.1,0.0,110622,9
13:40:37,-15.947409,-48.267005,936.9,0.1,0.0,110622,9
13:40:38,-15.947410,-48.267005,936.9,0.0,0.0,110622,9
13:40:39,-15.947410,-48.267005,937.0,0.2,0.0,110622,9
13:40:40,-15.947410,-48.267005,936.9,0.1,0.0,110622,9
13:40:41,-15.947411,-48.267005,936.9,0.0,0.0,110622,9
13:40:42,-15.947411,-48.267005,936.9,0.1,0.0,110622,9
13:40:43,-15.947412,-48.267005,936.9,0.1,0.0,110622,9
13:40:45,-15.947412,-48.267005,936.9,0.1,0.0,110622,9
13:40:46,-15.947412,-48.267005,936.9,0.1,0.0,110622,9
13:40:47,-15.947412,-48.267005,937.0,0.1,0.0,110622,9
13:40:48,-15.947411,-48.267005,937.0,0.1,0.0,110622,9
13:40:49,-15.947411,-48.267005,937.1,0.1,0.0,110622,9
13:40:50,-15.947411,-48.267005,937.2,0.0,0.0,110622,9
13:40:51,-15.947410,-48.267005,937.3,0.1,0.0,110622,9
13:40:52,-15.947409,-48.267005,937.4,0.1,0.0,110622,9
13:40:53,-15.947409,-48.267009,937.6,0.1,0.0,110622,9
13:40:54,-15.947409,-48.267009,937.7,0.1,0.0,110622,9
13:40:56,-15.947408,-48.267009,937.9,0.1,0.0,110622,9
13:40:57,-15.947407,-48.267013,938.0,0.1,0.0,110622,9
13:40:58,-15.947406,-48.267013,938.1,0.1,0.0,110622,9
13:40:59,-15.947406,-48.267013,938.1,0.1,0.0,110622,9
13:41:00,-15.947405,-48.267013,938.2,0.2,0.0,110622,9
13:41:01,-15.947404,-48.267017,938.2,0.1,0.0,110622,9
13:41:02,-15.947403,-48.267017,938.2,0.1,0.0,110622,9
13:41:03,-15.947402,-48.267017,938.2,0.1,0.0,110622,9
13:41:04,-15.947401,-48.267021,938.2,0.1,0.0,110622,9
13:41:05,-15.947400,-48.267021,938.0,0.2,0.0,110622,9
13:41:07,-15.947397,-48.267021,937.9,0.2,0.0,110622,9
13:41:08,-15.947396,-48.267021,937.7,0.2,0.0,110622,9
13:41:09,-15.947395,-48.267024,937.7,0.3,0.0,110622,9
13:41:10,-15.947394,-48.267024,937.6,0.3,0.0,110622,9
13:41:11,-15.947393,-48.267024,937.5,0.2,0.0,110622,9
13:41:13,-15.947391,-48.267024,937.5,0.2,0.0,110622,9
13:41:14,-15.947391,-48.267024,937.0,0.4,0.0,110622,9
13:41:15,-15.947391,-48.267024,936.8,0.1,0.0,110622,9
13:41:16,-15.947391,-48.267024,936.7,0.1,0.0,110622,9
13:41:17,-15.947390,-48.267024,936.5,0.1,0.0,110622,9
13:41:18,-15.947390,-48.267024,936.4,0.4,0.0,110622,9
13:41:19,-15.947390,-48.267024,936.2,0.2,0.0,110622,9
13:41:20,-15.947389,-48.267021,936.1,0.1,0.0,110622,9
13:41:21,-15.947389,-48.267021,935.8,0.3,0.0,110622,9
13:41:22,-15.947390,-48.267021,935.6,0.1,0.0,110622,9
13:41:24,-15.947390,-48.267021,935.3,0.2,0.0,110622,9
13:41:25,-15.947390,-48.267017,935.2,0.0,0.0,110622,9
13:41:26,-15.947390,-48.267017,934.9,0.5,0.0,110622,9
13:41:27,-15.947390,-48.267017,934.9,0.3,0.0,110622,9
13:41:28,-15.947390,-48.267017,934.9,0.3,0.0,110622,9
13:41:29,-15.947390,-48.267017,934.9,0.4,0.0,110622,9
13:41:30,-15.947389,-48.267017,935.0,0.1,0.0,110622,9
13:41:31,-15.947389,-48.267017,935.0,0.5,0.0,110622,9
13:41:32,-15.947389,-48.267017,935.1,0.2,0.0,110622,9
13:41:33,-15.947389,-48.267021,935.3,0.0,0.0,110622,9
13:41:35,-15.947389,-48.267021,935.3,0.1,0.0,110622,9
13:41:36,-15.947389,-48.267021,935.7,0.1,0.0,110622,9
13:41:37,-15.947389,-48.267021,935.8,0.1,0.0,110622,9
13:41:38,-15.947389,-48.267021,935.9,0.0,0.0,110622,9
13:41:39,-15.947389,-48.267021,936.0,0.0,0.0,110622,9
13:41:40,-15.947388,-48.267021,936.2,0.1,0.0,110622,9
13:41:41,-15.947387,-48.267021,936.3,0.1,0.0,110622,9
13:41:42,-15.947387,-48.267021,936.3,0.4,0.0,110622,9
13:41:43,-15.947387,-48.267021,936.2,0.4,0.0,110622,9
13:41:44,-15.947386,-48.267024,936.4,0.1,0.0,110622,9
13:41:46,-15.947386,-48.267021,936.4,0.0,0.0,110622,9
13:41:47,-15.947386,-48.267021,936.3,0.1,0.0,110622,9
13:41:48,-15.947386,-48.267021,936.2,0.2,0.0,110622,9
13:41:49,-15.947386,-48.267021,936.2,0.3,0.0,110622,9
13:41:50,-15.947386,-48.267021,936.2,0.3,0.0,110622,9
13:41:51,-15.947386,-48.267017,936.1,0.2,0.0,110622,9
13:41:52,-15.947385,-48.267017,936.1,0.2,0.0,110622,9
13:41:53,-15.947385,-48.267017,936.1,0.3,0.0,110622,9
13:41:54,-15.947385,-48.267017,936.1,0.1,0.0,110622,9
13:41:55,-15.947384,-48.267017,936.3,0.1,0.0,110622,9
13:41:56,-15.947384,-48.267017,936.3,0.1,0.0,110622,9
13:41:58,-15.947383,-48.267017,936.4,0.1,0.0,110622,9
13:41:59,-15.947382,-48.267017,936.4,0.0,0.0,110622,9
13:42:00,-15.947381,-48.267021,936.4,0.0,0.0,110622,9
13:42:01,-15.947381,-48.267021,936.4,0.2,0.0,110622,9
13:42:02,-15.947381,-48.267021,936.5,0.0,0.0,110622,9
13:42:03,-15.947381,-48.267021,936.5,0.3,0.0,110622,9
13:42:04,-15.947380,-48.267021,936.6,0.5,0.0,110622,9
13:42:05,-15.947380,-48.267021,936.6,0.1,0.0,110622,9
13:42:06,-15.947379,-48.267021,936.6,0.1,0.0,110622,8
13:42:07,-15.947378,-48.267021,936.6,0.2,0.0,110622,8
13:42:09,-15.947377,-48.267021,936.6,0.3,0.0,110622,8
13:42:10,-15.947376,-48.267024,936.5,0.1,0.0,110622,8
13:42:11,-15.947376,-48.267024,936.5,0.1,0.0,110622,8
13:42:12,-15.947375,-48.267021,936.4,0.1,0.0,110622,8
13:42:13,-15.947375,-48.267021,936.3,0.5,0.0,110622,8
13:42:15,-15.947375,-48.267021,936.3,0.1,0.0,110622,9
13:42:16,-15.947374,-48.267021,936.4,0.1,0.0,110622,9
13:42:17,-15.947373,-48.267021,936.5,0.2,0.0,110622,9
13:42:18,-15.947372,-48.267024,936.7,0.1,0.0,110622,9
13:42:19,-15.947372,-48.267024,936.8,0.1,0.0,110622,9
13:42:20,-15.947371,-48.267024,936.9,0.1,0.0,110622,9
13:42:21,-15.947371,-48.267024,937.0,0.1,0.0,110622,9
13:42:22,-15.947370,-48.267024,937.3,0.1,0.0,110622,9
13:42:23,-15.947369,-48.267024,937.5,0.1,0.0,110622,9
13:42:24,-15.947368,-48.267024,937.7,0.2,0.0,110622,9
13:42:26,-15.947365,-48.267028,938.0,0.1,0.0,110622,9
13:42:27,-15.947364,-48.267028,938.9,0.0,0.0,110622,9
13:42:28,-15.947363,-48.267028,939.2,0.2,0.0,110622,9
13:42:29,-15.947363,-48.267028,939.3,0.1,0.0,110622,9
13:42:30,-15.947363,-48.267028,939.4,0.1,0.0,110622,9
13:42:31,-15.947364,-48.267028,939.4,0.0,0.0,110622,9
13:42:32,-15.947365,-48.267028,939.4,0.1,0.0,110622,9
13:42:33,-15.947366,-48.267028,939.4,0.3,0.0,110622,8
13:42:34,-15.947367,-48.267024,939.4,0.0,0.0,110622,8
13:42:35,-15.947369,-48.267024,939.2,0.3,0.0,110622,8
13:42:36,-15.947370,-48.267021,939.1,0.2,0.0,110622,9
13:42:38,-15.947371,-48.267021,939.0,0.2,0.0,110622,9
13:42:39,-15.947372,-48.267021,939.0,0.2,0.0,110622,9
13:42:40,-15.947373,-48.267017,938.9,0.3,0.0,110622,9
