hora,latitude,longitude,altitude(m),velocidade(km/h),curso(Â°),satelites
21:00:00,0.000000,0.000000,0.0,0.00,0.0,0
13:48:39,-15.947436,-48.267066,0.0,0.06,0.0,0
13:48:39,-15.947436,-48.267066,0.0,0.06,0.0,0
13:48:39,-15.947436,-48.267066,943.3,0.06,0.0,6
13:48:47,-15.947428,-48.267038,943.3,0.19,0.0,6
13:48:47,-15.947428,-48.267038,943.3,0.19,0.0,6
13:48:47,-15.947428,-48.267038,943.0,0.19,0.0,7
13:48:47,-15.947428,-48.267038,943.0,0.19,0.0,7
13:48:47,-15.947428,-48.267038,943.0,0.19,0.0,7
13:48:51,-15.947428,-48.267018,943.0,0.76,0.0,7
13:48:55,-15.947427,-48.267011,943.0,0.65,0.0,7
13:48:57,-15.947426,-48.267009,943.0,0.20,0.0,7
13:48:57,-15.947426,-48.267009,943.0,0.20,0.0,7
13:48:59,-15.947427,-48.267004,943.0,0.15,0.0,7
13:48:59,-15.947427,-48.267004,943.0,0.15,0.0,7
13:48:59,-15.947427,-48.267004,943.0,0.15,0.0,7
13:48:59,-15.947427,-48.267004,943.0,0.15,0.0,7
13:48:59,-15.947427,-48.267004,943.0,0.15,0.0,7
13:49:10,-15.947428,-48.266990,943.0,0.22,0.0,7
13:49:10,-15.947428,-48.266990,943.0,0.22,0.0,7
13:49:12,-15.947428,-48.266988,943.0,0.41,0.0,7
13:49:14,-15.947428,-48.266980,943.0,0.11,0.0,7
13:49:18,-15.947430,-48.266972,943.0,0.28,0.0,7
13:49:18,-15.947430,-48.266972,943.0,0.28,0.0,7
13:49:20,-15.947431,-48.266964,943.0,0.63,0.0,7
13:49:20,-15.947431,-48.266964,943.0,0.63,0.0,7
13:49:26,-15.947436,-48.266950,943.0,0.61,0.0,7
13:49:26,-15.947436,-48.266950,943.0,0.61,0.0,7
13:49:26,-15.947436,-48.266950,943.0,0.61,0.0,7
13:49:26,-15.947436,-48.266950,943.0,0.61,0.0,7
13:49:26,-15.947436,-48.266950,943.0,0.61,0.0,7
13:49:37,-15.947442,-48.266940,943.0,0.11,0.0,7
13:49:37,-15.947442,-48.266940,943.0,0.11,0.0,7
13:49:37,-15.947442,-48.266940,938.3,0.11,0.0,7
13:49:39,-15.947441,-48.266936,938.3,0.15,0.0,7
13:49:39,-15.947441,-48.266936,938.3,0.15,0.0,7
13:49:43,-15.947444,-48.266938,938.3,0.39,0.0,7
13:49:45,-15.947444,-48.266940,938.3,0.28,0.0,7
13:49:49,-15.947444,-48.266943,938.3,0.11,0.0,7
13:49:49,-15.947444,-48.266943,938.3,0.11,0.0,7
13:49:49,-15.947444,-48.266943,938.3,0.11,0.0,7
13:49:49,-15.947444,-48.266943,938.3,0.11,0.0,7
13:49:58,-15.947430,-48.266935,938.3,0.65,0.0,7
13:49:58,-15.947430,-48.266935,938.3,0.65,0.0,7
13:50:00,-15.947421,-48.266927,938.3,1.11,0.0,7
13:50:00,-15.947421,-48.266927,938.3,1.11,0.0,7
13:50:00,-15.947421,-48.266927,936.3,1.11,0.0,7
13:50:04,-15.947405,-48.266916,936.3,1.37,0.0,7
13:50:08,-15.947405,-48.266922,936.3,0.67,0.0,7
13:50:10,-15.947403,-48.266924,936.3,0.65,0.0,7
13:50:10,-15.947403,-48.266924,936.3,0.65,0.0,7
13:50:10,-15.947403,-48.266924,936.3,0.65,0.0,7
13:50:10,-15.947403,-48.266924,936.3,0.65,0.0,7
13:50:10,-15.947403,-48.266924,936.3,0.65,0.0,7
13:50:10,-15.947403,-48.266924,936.3,0.65,0.0,7
13:50:21,-15.947405,-48.266921,936.3,0.52,281.0,7
13:50:21,-15.947405,-48.266921,936.3,0.52,281.0,7
13:50:23,-15.947408,-48.266926,936.3,0.39,281.0,7
13:50:25,-15.947409,-48.266922,936.3,0.70,281.0,7
13:50:29,-15.947411,-48.266932,936.3,0.67,281.0,7
13:50:29,-15.947411,-48.266932,936.3,0.67,281.0,7
13:50:31,-15.947411,-48.266931,936.3,0.24,281.0,7
13:50:33,-15.947410,-48.266928,936.3,0.07,281.0,7
13:50:33,-15.947410,-48.266928,936.3,0.07,281.0,7
13:50:37,-15.947408,-48.266925,936.3,0.09,281.0,7
13:50:39,-15.947404,-48.266922,936.3,0.41,281.0,7
13:50:43,-15.947397,-48.266922,936.3,0.06,281.0,7
13:50:43,-15.947397,-48.266922,936.3,0.06,281.0,7
13:50:45,-15.947392,-48.266922,936.3,0.94,281.0,7
13:50:47,-15.947391,-48.266928,936.3,0.72,281.0,7
13:50:47,-15.947391,-48.266928,936.3,0.72,281.0,7
13:50:51,-15.947390,-48.266935,936.3,0.02,281.0,7
13:50:53,-15.947390,-48.266937,936.3,0.70,281.0,7
13:50:57,-15.947390,-48.266943,936.3,0.46,281.0,7
13:50:57,-15.947390,-48.266943,936.3,0.46,281.0,7
13:50:59,-15.947390,-48.266944,936.3,0.09,281.0,7
13:51:01,-15.947389,-48.266944,936.3,0.54,281.0,7
13:51:01,-15.947389,-48.266944,936.3,0.54,281.0,7
13:51:05,-15.947389,-48.266949,936.3,0.22,281.0,7
13:51:07,-15.947390,-48.266948,936.3,0.06,281.0,7
13:51:11,-15.947388,-48.266947,936.3,0.89,281.0,7
13:51:11,-15.947388,-48.266947,936.3,0.89,281.0,7
13:51:13,-15.947387,-48.266948,936.3,0.31,281.0,7
13:51:15,-15.947390,-48.266948,936.3,0.30,281.0,7
13:51:15,-15.947390,-48.266948,936.3,0.30,281.0,7
13:51:19,-15.947392,-48.266947,936.3,0.26,281.0,7
13:51:21,-15.947393,-48.266948,936.3,0.30,281.0,7
13:51:25,-15.947394,-48.266950,936.3,0.19,281.0,7
13:51:25,-15.947394,-48.266950,936.3,0.19,281.0,7
13:51:27,-15.947395,-48.266953,936.3,0.26,281.0,7
13:51:29,-15.947397,-48.266955,936.3,0.24,281.0,7
13:51:29,-15.947397,-48.266955,936.3,0.24,281.0,7
13:51:33,-15.947400,-48.266958,936.3,0.54,281.0,7
13:51:35,-15.947399,-48.266961,936.3,0.35,281.0,7
13:51:39,-15.947400,-48.266960,936.3,0.13,281.0,7
13:51:39,-15.947400,-48.266960,936.3,0.13,281.0,7
13:51:41,-15.947401,-48.266959,936.3,0.35,281.0,7
13:51:43,-15.947401,-48.266957,936.3,0.09,281.0,7
13:51:43,-15.947401,-48.266957,936.3,0.09,281.0,7
13:51:47,-15.947402,-48.266958,936.3,0.22,281.0,7
13:51:49,-15.947404,-48.266956,936.3,0.59,281.0,7
13:51:53,-15.947407,-48.266953,936.3,0.19,281.0,7
13:51:53,-15.947407,-48.266953,936.3,0.19,281.0,7
13:51:55,-15.947408,-48.266953,936.3,0.37,281.0,7
13:51:57,-15.947410,-48.266953,936.3,0.22,281.0,7
13:51:57,-15.947410,-48.266953,936.3,0.22,281.0,7
13:52:01,-15.947413,-48.266952,936.3,0.06,281.0,7
13:52:03,-15.947413,-48.266952,936.3,0.22,281.0,7
13:52:07,-15.947414,-48.266957,936.3,0.09,281.0,7
13:52:07,-15.947414,-48.266957,936.3,0.09,281.0,7
13:52:09,-15.947416,-48.266961,936.3,0.28,281.0,7
13:52:11,-15.947416,-48.266965,936.3,0.15,281.0,7
13:52:11,-15.947416,-48.266965,936.3,0.15,281.0,7
13:52:15,-15.947416,-48.266970,936.3,0.13,281.0,7
13:52:17,-15.947416,-48.266971,936.3,0.17,281.0,7
13:52:21,-15.947417,-48.266971,936.3,0.41,281.0,7
13:52:21,-15.947417,-48.266971,936.3,0.41,281.0,7
13:52:25,-15.947416,-48.266973,936.3,0.35,281.0,7
13:52:25,-15.947416,-48.266973,936.3,0.35,281.0,7
13:52:29,-15.947416,-48.266971,936.3,0.24,281.0,7
13:52:31,-15.947421,-48.266962,936.3,0.57,281.0,7
13:52:35,-15.947420,-48.266961,936.3,0.06,281.0,7
13:52:35,-15.947420,-48.266961,936.3,0.06,281.0,7
13:52:37,-15.947420,-48.266958,936.3,0.63,281.0,7
13:52:39,-15.947424,-48.266951,936.3,1.50,281.0,7
13:52:39,-15.947424,-48.266951,936.3,1.50,281.0,7
13:52:43,-15.947428,-48.266951,936.3,0.57,281.0,7
13:52:45,-15.947425,-48.266950,936.3,0.72,281.0,7
13:52:49,-15.947423,-48.266955,936.3,1.09,281.0,7
13:52:49,-15.947423,-48.266955,936.3,1.09,281.0,7
13:52:51,-15.947417,-48.266959,936.3,0.24,281.0,7
13:52:53,-15.947414,-48.266961,936.3,0.09,281.0,7
13:52:53,-15.947414,-48.266961,936.3,0.09,281.0,7
13:52:57,-15.947409,-48.266955,936.3,0.80,281.0,7
13:52:59,-15.947409,-48.266953,936.3,0.17,281.0,7
13:53:03,-15.947408,-48.266942,936.3,0.56,281.0,7
13:53:03,-15.947408,-48.266942,936.3,0.56,281.0,7
13:53:05,-15.947406,-48.266937,936.3,0.59,281.0,7
13:53:07,-15.947406,-48.266932,936.3,0.46,281.0,7
13:53:07,-15.947406,-48.266932,936.3,0.46,281.0,7
13:53:11,-15.947410,-48.266922,936.3,0.20,281.0,7
13:53:13,-15.947411,-48.266921,936.3,0.43,281.0,7
13:53:17,-15.947413,-48.266924,936.3,0.17,281.0,7
13:53:17,-15.947413,-48.266924,936.3,0.17,281.0,7
13:53:19,-15.947409,-48.266926,936.3,0.46,281.0,7
13:53:21,-15.947407,-48.266930,936.3,0.11,281.0,7
13:53:21,-15.947407,-48.266930,936.3,0.11,281.0,7
13:53:25,-15.947407,-48.266936,936.3,0.19,281.0,7
13:53:27,-15.947406,-48.266938,936.3,0.31,281.0,7
13:53:31,-15.947406,-48.266943,936.3,0.06,281.0,7
13:53:31,-15.947406,-48.266943,936.3,0.06,281.0,7
13:53:33,-15.947402,-48.266940,936.3,0.37,281.0,7
13:53:35,-15.947401,-48.266938,936.3,0.19,281.0,7
13:53:35,-15.947401,-48.266938,936.3,0.19,281.0,7
13:53:39,-15.947396,-48.266932,936.3,0.67,281.0,7
13:53:41,-15.947393,-48.266929,936.3,0.76,281.0,7
13:53:45,-15.947392,-48.266929,936.3,0.07,281.0,7
13:53:45,-15.947392,-48.266929,936.3,0.07,281.0,7
13:53:47,-15.947393,-48.266928,936.3,0.13,281.0,7
13:53:49,-15.947393,-48.266927,936.3,0.06,281.0,7
13:53:49,-15.947393,-48.266927,936.3,0.06,281.0,7
13:53:53,-15.947390,-48.266924,936.3,0.70,281.0,7
13:53:55,-15.947394,-48.266921,936.3,0.74,281.0,7
13:53:59,-15.947393,-48.266925,936.3,0.15,281.0,7
13:53:59,-15.947393,-48.266933,936.3,0.07,281.0,7
13:54:21,-15.947398,-48.266936,936.3,0.09,281.0,7
13:54:23,-15.947399,-48.266936,936.3,0.43,281.0,7
13:54:27,-15.947407,-48.266942,936.3,0.24,281.0,7
13:54:27,-15.947407,-48.266942,936.3,0.24,281.0,7
13:54:29,-15.947410,-48.266945,936.3,0.48,281.0,7
13:54:31,-15.947413,-48.266946,936.3,0.28,281.0,7
13:54:31,-15.947413,-48.266946,936.3,0.28,281.0,7
13:54:35,-15.947416,-48.266950,936.3,0.70,281.0,7
13:54:37,-15.947417,-48.266950,936.3,0.19,281.0,7
13:54:41,-15.947415,-48.266951,936.3,0.48,281.0,7
13:54:41,-15.947415,-48.266951,936.3,0.48,281.0,7
13:54:43,-15.947416,-48.266951,936.3,0.37,281.0,7
13:54:45,-15.947415,-48.266952,936.3,0.50,281.0,7
13:54:45,-15.947415,-48.266952,936.3,0.50,281.0,7
13:54:49,-15.947413,-48.266951,936.3,0.22,281.0,7
13:54:51,-15.947413,-48.266949,936.3,0.15,281.0,7
13:54:55,-15.947414,-48.266947,936.3,0.13,281.0,7
13:54:55,-15.947414,-48.266947,936.3,0.13,281.0,7
13:54:57,-15.947414,-48.266946,936.3,0.30,281.0,7
13:54:59,-15.947416,-48.266945,936.3,0.22,281.0,7
13:54:59,-15.947416,-48.266945,936.3,0.22,281.0,7
13:55:03,-15.947416,-48.266944,936.3,0.09,281.0,7
13:55:05,-15.947416,-48.266944,936.3,0.56,281.0,7
